"Initial_Coral","Fishing_Pressure","Final_Coral","alphaT","alphaM"
0,0,0.0996625838822232,0.3,0.4
0.02,0,0.0996625838823191,0.3,0.4
0.04,0,0.0996625838824421,0.3,0.4
0.06,0,0.0996625838825987,0.3,0.4
0.08,0,0.0996625838828089,0.3,0.4
0.1,0,0.0996625838831162,0.3,0.4
0.12,0,0.0996625838835421,0.3,0.4
0.14,0,0.0996625838842558,0.3,0.4
0.16,0,0.0996625838855905,0.3,0.4
0.18,0,0.0996625838889203,0.3,0.4
0.2,0,0.0996625839045157,0.3,0.4
0.22,0,0.709646146358529,0.3,0.4
0.24,0,0.709646146358529,0.3,0.4
0.26,0,0.709646146358529,0.3,0.4
0.28,0,0.709646146358529,0.3,0.4
0.3,0,0.709646146358529,0.3,0.4
0.32,0,0.709646146358529,0.3,0.4
0.34,0,0.709646146358529,0.3,0.4
0.36,0,0.709646146358529,0.3,0.4
0.38,0,0.709646146358529,0.3,0.4
0.4,0,0.709646146358529,0.3,0.4
0.42,0,0.709646146358529,0.3,0.4
0.44,0,0.709646146358529,0.3,0.4
0.46,0,0.709646146358529,0.3,0.4
0.48,0,0.709646146358529,0.3,0.4
0.5,0,0.709646146358529,0.3,0.4
0.52,0,0.709646146358529,0.3,0.4
0.54,0,0.709646146358529,0.3,0.4
0.56,0,0.709646146358529,0.3,0.4
0.58,0,0.709646146358529,0.3,0.4
0.6,0,0.709646146358529,0.3,0.4
0.62,0,0.709646146358529,0.3,0.4
0.64,0,0.709646146358529,0.3,0.4
0.66,0,0.709646146358529,0.3,0.4
0.68,0,0.709646146358529,0.3,0.4
0.7,0,0.709646146358529,0.3,0.4
0.72,0,0.709646146358529,0.3,0.4
0.74,0,0.709646146358529,0.3,0.4
0.76,0,0.709646146358529,0.3,0.4
0.78,0,0.709646146358529,0.3,0.4
0.8,0,0.709646146358529,0.3,0.4
0.82,0,0.709646146358534,0.3,0.4
0.84,0,0.709646146358534,0.3,0.4
0,0.02,0.0929507016897759,0.3,0.4
0.02,0.02,0.0929507016897857,0.3,0.4
0.04,0.02,0.0929507016897883,0.3,0.4
0.06,0.02,0.0929507016897952,0.3,0.4
0.08,0.02,0.092950701689805,0.3,0.4
0.1,0.02,0.0929507016898181,0.3,0.4
0.12,0.02,0.0929507016898354,0.3,0.4
0.14,0.02,0.0929507016898622,0.3,0.4
0.16,0.02,0.0929507016899061,0.3,0.4
0.18,0.02,0.0929507016899897,0.3,0.4
0.2,0.02,0.0929507016901965,0.3,0.4
0.22,0.02,0.0929507016912611,0.3,0.4
0.24,0.02,0.708838348850326,0.3,0.4
0.26,0.02,0.708838348850326,0.3,0.4
0.28,0.02,0.708838348850326,0.3,0.4
0.3,0.02,0.708838348850326,0.3,0.4
0.32,0.02,0.708838348850326,0.3,0.4
0.34,0.02,0.708838348850326,0.3,0.4
0.36,0.02,0.708838348850326,0.3,0.4
0.38,0.02,0.708838348850326,0.3,0.4
0.4,0.02,0.708838348850326,0.3,0.4
0.42,0.02,0.708838348850326,0.3,0.4
0.44,0.02,0.708838348850326,0.3,0.4
0.46,0.02,0.708838348850326,0.3,0.4
0.48,0.02,0.708838348850326,0.3,0.4
0.5,0.02,0.708838348850326,0.3,0.4
0.52,0.02,0.708838348850326,0.3,0.4
0.54,0.02,0.708838348850326,0.3,0.4
0.56,0.02,0.708838348850326,0.3,0.4
0.58,0.02,0.708838348850326,0.3,0.4
0.6,0.02,0.708838348850326,0.3,0.4
0.62,0.02,0.708838348850326,0.3,0.4
0.64,0.02,0.708838348850326,0.3,0.4
0.66,0.02,0.708838348850326,0.3,0.4
0.68,0.02,0.708838348850326,0.3,0.4
0.7,0.02,0.708838348850326,0.3,0.4
0.72,0.02,0.708838348850326,0.3,0.4
0.74,0.02,0.708838348850326,0.3,0.4
0.76,0.02,0.708838348850326,0.3,0.4
0.78,0.02,0.708838348850326,0.3,0.4
0.8,0.02,0.708838348850326,0.3,0.4
0.82,0.02,0.70883834885033,0.3,0.4
0.84,0.02,0.70883834885033,0.3,0.4
0,0.04,0.0871362469580202,0.3,0.4
0.02,0.04,0.0871362469580284,0.3,0.4
0.04,0.04,0.0871362469580284,0.3,0.4
0.06,0.04,0.0871362469580284,0.3,0.4
0.08,0.04,0.0871362469580284,0.3,0.4
0.1,0.04,0.0871362469580284,0.3,0.4
0.12,0.04,0.0871362469580285,0.3,0.4
0.14,0.04,0.08713624695803,0.3,0.4
0.16,0.04,0.0871362469580317,0.3,0.4
0.18,0.04,0.0871362469580351,0.3,0.4
0.2,0.04,0.0871362469580426,0.3,0.4
0.22,0.04,0.0871362469580599,0.3,0.4
0.24,0.04,0.087136246958159,0.3,0.4
0.26,0.04,0.70795555075813,0.3,0.4
0.28,0.04,0.70795555075813,0.3,0.4
0.3,0.04,0.70795555075813,0.3,0.4
0.32,0.04,0.70795555075813,0.3,0.4
0.34,0.04,0.70795555075813,0.3,0.4
0.36,0.04,0.70795555075813,0.3,0.4
0.38,0.04,0.70795555075813,0.3,0.4
0.4,0.04,0.70795555075813,0.3,0.4
0.42,0.04,0.70795555075813,0.3,0.4
0.44,0.04,0.70795555075813,0.3,0.4
0.46,0.04,0.70795555075813,0.3,0.4
0.48,0.04,0.70795555075813,0.3,0.4
0.5,0.04,0.70795555075813,0.3,0.4
0.52,0.04,0.70795555075813,0.3,0.4
0.54,0.04,0.70795555075813,0.3,0.4
0.56,0.04,0.70795555075813,0.3,0.4
0.58,0.04,0.70795555075813,0.3,0.4
0.6,0.04,0.70795555075813,0.3,0.4
0.62,0.04,0.70795555075813,0.3,0.4
0.64,0.04,0.70795555075813,0.3,0.4
0.66,0.04,0.70795555075813,0.3,0.4
0.68,0.04,0.70795555075813,0.3,0.4
0.7,0.04,0.70795555075813,0.3,0.4
0.72,0.04,0.70795555075813,0.3,0.4
0.74,0.04,0.70795555075813,0.3,0.4
0.76,0.04,0.70795555075813,0.3,0.4
0.78,0.04,0.70795555075813,0.3,0.4
0.8,0.04,0.70795555075813,0.3,0.4
0.82,0.04,0.707955550758135,0.3,0.4
0.84,0.04,0.707955550758135,0.3,0.4
0,0.06,0.0819913656864406,0.3,0.4
0.02,0.06,0.0819913656864482,0.3,0.4
0.04,0.06,0.0819913656864482,0.3,0.4
0.06,0.06,0.0819913656864482,0.3,0.4
0.08,0.06,0.0819913656864482,0.3,0.4
