Initial_Coral,Fishing_Pressure,Final_Coral,gt,gm
0.78,0.1,2.2204460492503436e-16,0,0
0.8,0.1,2.2204460492503436e-16,0,0
0.8200000000000001,0.1,2.2204460492503436e-16,0,0
0.84,0.1,2.2204460492503436e-16,0,0
0,0.12,2.2204460492503072e-16,0,0
0.02,0.12,2.2204460492503436e-16,0,0
0.04,0.12,2.2204460492503436e-16,0,0
0.06,0.12,2.2204460492503436e-16,0,0
0.08,0.12,2.2204460492503436e-16,0,0
0.1,0.12,2.2204460492503436e-16,0,0
0.12,0.12,2.2204460492503436e-16,0,0
0.14,0.12,2.2204460492503436e-16,0,0
0.16,0.12,2.2204460492503436e-16,0,0
0.18,0.12,2.2204460492503436e-16,0,0
0.2,0.12,2.2204460492503436e-16,0,0
0.22,0.12,2.2204460492503436e-16,0,0
0.24,0.12,2.2204460492503436e-16,0,0
0.26,0.12,2.2204460492503436e-16,0,0
0.28,0.12,2.2204460492503436e-16,0,0
0.3,0.12,2.2204460492503436e-16,0,0
0.32,0.12,2.2204460492503436e-16,0,0
0.34,0.12,2.2204460492503436e-16,0,0
0.36,0.12,2.2204460492503436e-16,0,0
0.38,0.12,2.2204460492503436e-16,0,0
0.4,0.12,2.2204460492503436e-16,0,0
0.42,0.12,2.2204460492503436e-16,0,0
0.44,0.12,2.2204460492503436e-16,0,0
0.46,0.12,2.2204460492503436e-16,0,0
0.48,0.12,2.2204460492503436e-16,0,0
0.5,0.12,2.2204460492503436e-16,0,0
0.52,0.12,2.2204460492503436e-16,0,0
0.54,0.12,2.2204460492503436e-16,0,0
0.56,0.12,2.2204460492503436e-16,0,0
0.58,0.12,2.2204460492503436e-16,0,0
0.6,0.12,2.2204460492503436e-16,0,0
0.62,0.12,2.2204460492503436e-16,0,0
0.64,0.12,2.2204460492503436e-16,0,0
0.66,0.12,2.2204460492503436e-16,0,0
0.68,0.12,2.2204460492503436e-16,0,0
0.7000000000000001,0.12,2.2204460492503436e-16,0,0
0.72,0.12,2.2204460492503436e-16,0,0
0.74,0.12,2.2204460492503436e-16,0,0
0.76,0.12,2.2204460492503436e-16,0,0
0.78,0.12,2.2204460492503436e-16,0,0
0.8,0.12,2.2204460492503436e-16,0,0
0.8200000000000001,0.12,2.2204460492503436e-16,0,0
0.84,0.12,2.2204460492503436e-16,0,0
0,0.14,2.2204460492503072e-16,0,0
0.02,0.14,2.2204460492503436e-16,0,0
0.04,0.14,2.2204460492503436e-16,0,0
0.06,0.14,2.2204460492503436e-16,0,0
0.08,0.14,2.2204460492503436e-16,0,0
0.1,0.14,2.2204460492503436e-16,0,0
0.12,0.14,2.2204460492503436e-16,0,0
0.14,0.14,2.2204460492503436e-16,0,0
0.16,0.14,2.2204460492503436e-16,0,0
0.18,0.14,2.2204460492503436e-16,0,0
0.2,0.14,2.2204460492503436e-16,0,0
0.22,0.14,2.2204460492503436e-16,0,0
0.24,0.14,2.2204460492503436e-16,0,0
0.26,0.14,2.2204460492503436e-16,0,0
0.28,0.14,2.2204460492503436e-16,0,0
0.3,0.14,2.2204460492503436e-16,0,0
0.32,0.14,2.2204460492503436e-16,0,0
0.34,0.14,2.2204460492503436e-16,0,0
0.36,0.14,2.2204460492503436e-16,0,0
0.38,0.14,2.2204460492503436e-16,0,0
0.4,0.14,2.2204460492503436e-16,0,0
0.42,0.14,2.2204460492503436e-16,0,0
0.44,0.14,2.2204460492503436e-16,0,0
0.46,0.14,2.2204460492503436e-16,0,0
0.48,0.14,2.2204460492503436e-16,0,0
0.5,0.14,2.2204460492503436e-16,0,0
0.52,0.14,2.2204460492503436e-16,0,0
0.54,0.14,2.2204460492503436e-16,0,0
0.56,0.14,2.2204460492503436e-16,0,0
0.58,0.14,2.2204460492503436e-16,0,0
0.6,0.14,2.2204460492503436e-16,0,0
0.62,0.14,2.2204460492503436e-16,0,0
0.64,0.14,2.2204460492503436e-16,0,0
0.66,0.14,2.2204460492503436e-16,0,0
0.68,0.14,2.2204460492503436e-16,0,0
