"Initial_Coral","Fishing_Pressure","Final_Coral","iT","iC"
0,0,0.0681915292646687,0.25,0.05
0.02,0,0.0681915292646748,0.25,0.05
0.04,0,0.0681915292646748,0.25,0.05
0.06,0,0.0681915292646748,0.25,0.05
0.08,0,0.0681915292646748,0.25,0.05
0.1,0,0.0681915292646748,0.25,0.05
0.12,0,0.0681915292646748,0.25,0.05
0.14,0,0.0681915292646748,0.25,0.05
0.16,0,0.0681915292646748,0.25,0.05
0.18,0,0.0681915292646748,0.25,0.05
0.2,0,0.0681915292646748,0.25,0.05
0.22,0,0.0681915292646748,0.25,0.05
0.24,0,0.0681915292646748,0.25,0.05
0.26,0,0.0681915292646748,0.25,0.05
0.28,0,0.0681915292646748,0.25,0.05
0.3,0,0.0681915292646748,0.25,0.05
0.32,0,0.0681915292646748,0.25,0.05
0.34,0,0.0681915292646748,0.25,0.05
0.36,0,0.0681915292646764,0.25,0.05
0.38,0,0.609238810556459,0.25,0.05
0.4,0,0.609238810556459,0.25,0.05
0.42,0,0.609238810556459,0.25,0.05
0.44,0,0.609238810556459,0.25,0.05
0.46,0,0.609238810556459,0.25,0.05
0.48,0,0.609238810556459,0.25,0.05
0.5,0,0.609238810556459,0.25,0.05
0.52,0,0.609238810556459,0.25,0.05
0.54,0,0.609238810556459,0.25,0.05
0.56,0,0.609238810556459,0.25,0.05
0.58,0,0.609238810556459,0.25,0.05
0.6,0,0.609238810556459,0.25,0.05
0.62,0,0.609238810556459,0.25,0.05
0.64,0,0.609238810556459,0.25,0.05
0.66,0,0.609238810556459,0.25,0.05
0.68,0,0.609238810556472,0.25,0.05
0.7,0,0.609238810556472,0.25,0.05
0.72,0,0.609238810556472,0.25,0.05
0.74,0,0.609238810556472,0.25,0.05
0.76,0,0.609238810556472,0.25,0.05
0.78,0,0.609238810556472,0.25,0.05
0.8,0,0.609238810556472,0.25,0.05
0.82,0,0.609238810556472,0.25,0.05
0.84,0,0.609238810556472,0.25,0.05
0,0.02,0.0646846163521758,0.25,0.05
0.02,0.02,0.0646846163521814,0.25,0.05
0.04,0.02,0.0646846163521814,0.25,0.05
0.06,0.02,0.0646846163521814,0.25,0.05
0.08,0.02,0.0646846163521814,0.25,0.05
0.1,0.02,0.0646846163521814,0.25,0.05
0.12,0.02,0.0646846163521814,0.25,0.05
0.14,0.02,0.0646846163521814,0.25,0.05
0.16,0.02,0.0646846163521814,0.25,0.05
0.18,0.02,0.0646846163521814,0.25,0.05
0.2,0.02,0.0646846163521814,0.25,0.05
0.22,0.02,0.0646846163521814,0.25,0.05
0.24,0.02,0.0646846163521814,0.25,0.05
0.26,0.02,0.0646846163521814,0.25,0.05
0.28,0.02,0.0646846163521814,0.25,0.05
0.3,0.02,0.0646846163521814,0.25,0.05
0.32,0.02,0.0646846163521814,0.25,0.05
0.34,0.02,0.0646846163521814,0.25,0.05
0.36,0.02,0.0646846163521814,0.25,0.05
0.38,0.02,0.0646846163521814,0.25,0.05
0.4,0.02,0.600087108025476,0.25,0.05
0.42,0.02,0.600087108025476,0.25,0.05
0.44,0.02,0.600087108025476,0.25,0.05
0.46,0.02,0.600087108025476,0.25,0.05
0.48,0.02,0.600087108025476,0.25,0.05
0.5,0.02,0.600087108025476,0.25,0.05
0.52,0.02,0.600087108025476,0.25,0.05
0.54,0.02,0.600087108025476,0.25,0.05
0.56,0.02,0.600087108025476,0.25,0.05
0.58,0.02,0.600087108025476,0.25,0.05
0.6,0.02,0.600087108025476,0.25,0.05
0.62,0.02,0.600087108025476,0.25,0.05
0.64,0.02,0.600087108025476,0.25,0.05
0.66,0.02,0.600087108025476,0.25,0.05
0.68,0.02,0.600087108025493,0.25,0.05
0.7,0.02,0.600087108025493,0.25,0.05
0.72,0.02,0.600087108025493,0.25,0.05
0.74,0.02,0.600087108025493,0.25,0.05
0.76,0.02,0.600087108025493,0.25,0.05
0.78,0.02,0.600087108025493,0.25,0.05
0.8,0.02,0.600087108025493,0.25,0.05
0.82,0.02,0.600087108025493,0.25,0.05
0.84,0.02,0.600087108025493,0.25,0.05
0,0.04,0.0614407377889968,0.25,0.05
0.02,0.04,0.0614407377889968,0.25,0.05
0.04,0.04,0.0614407377889968,0.25,0.05
0.06,0.04,0.0614407377889968,0.25,0.05
0.08,0.04,0.0614407377889968,0.25,0.05
0.1,0.04,0.0614407377889968,0.25,0.05
0.12,0.04,0.0614407377889968,0.25,0.05
0.14,0.04,0.0614407377889968,0.25,0.05
0.16,0.04,0.0614407377889968,0.25,0.05
0.18,0.04,0.0614407377889968,0.25,0.05
0.2,0.04,0.0614407377889968,0.25,0.05
0.22,0.04,0.0614407377889968,0.25,0.05
0.24,0.04,0.0614407377889968,0.25,0.05
0.26,0.04,0.0614407377889968,0.25,0.05
0.28,0.04,0.0614407377889968,0.25,0.05
0.3,0.04,0.0614407377889968,0.25,0.05
0.32,0.04,0.0614407377889968,0.25,0.05
0.34,0.04,0.0614407377889968,0.25,0.05
0.36,0.04,0.0614407377889968,0.25,0.05
0.38,0.04,0.0614407377889968,0.25,0.05
0.4,0.04,0.0614407377889968,0.25,0.05
0.42,0.04,0.0614407377889968,0.25,0.05
0.44,0.04,0.588257770714438,0.25,0.05
0.46,0.04,0.5882577707149,0.25,0.05
0.48,0.04,0.588257770714983,0.25,0.05
0.5,0.04,0.588257770715011,0.25,0.05
0.52,0.04,0.588257770715029,0.25,0.05
0.54,0.04,0.588257770715036,0.25,0.05
0.56,0.04,0.588257770715039,0.25,0.05
0.58,0.04,0.58825777071504,0.25,0.05
0.6,0.04,0.58825777071504,0.25,0.05
0.62,0.04,0.58825777071504,0.25,0.05
0.64,0.04,0.58825777071504,0.25,0.05
0.66,0.04,0.588257770715061,0.25,0.05
0.68,0.04,0.588257770715061,0.25,0.05
0.7,0.04,0.588257770715061,0.25,0.05
0.72,0.04,0.588257770715061,0.25,0.05
0.74,0.04,0.588257770715061,0.25,0.05
0.76,0.04,0.588257770715061,0.25,0.05
0.78,0.04,0.588257770715061,0.25,0.05
0.8,0.04,0.588257770715061,0.25,0.05
0.82,0.04,0.588257770715061,0.25,0.05
0.84,0.04,0.588257770715061,0.25,0.05
0,0.06,0.0584229047537444,0.25,0.05
0.02,0.06,0.0584229047537444,0.25,0.05
0.04,0.06,0.0584229047537444,0.25,0.05
0.06,0.06,0.0584229047537444,0.25,0.05
0.08,0.06,0.0584229047537444,0.25,0.05
0.1,0.06,0.0584229047537444,0.25,0.05
0.12,0.06,0.0584229047537444,0.25,0.05
0.14,0.06,0.0584229047537444,0.25,0.05
0.16,0.06,0.0584229047537444,0.25,0.05
0.18,0.06,0.0584229047537444,0.25,0.05
0.2,0.06,0.0584229047537444,0.25,0.05
0.22,0.06,0.0584229047537444,0.25,0.05
0.24,0.06,0.0584229047537444,0.25,0.05
0.26,0.06,0.0584229047537444,0.25,0.05
0.28,0.06,0.0584229047537444,0.25,0.05
0.3,0.06,0.0584229047537444,0.25,0.05
0.32,0.06,0.0584229047537444,0.25,0.05
0.34,0.06,0.0584229047537444,0.25,0.05
0.36,0.06,0.0584229047537444,0.25,0.05
0.38,0.06,0.0584229047537444,0.25,0.05
0.4,0.06,0.0584229047537444,0.25,0.05
0.42,0.06,0.0584229047537444,0.25,0.05
0.44,0.06,0.0584229047537444,0.25,0.05
0.46,0.06,0.0584229047537444,0.25,0.05
0.48,0.06,0.571100924874591,0.25,0.05
0.5,0.06,0.571100927979103,0.25,0.05
0.52,0.06,0.571100928622273,0.25,0.05
0.54,0.06,0.571100928873955,0.25,0.05
0.56,0.06,0.57110092900126,0.25,0.05
0.58,0.06,0.571100929075498,0.25,0.05
0.6,0.06,0.571100929122921,0.25,0.05
0.62,0.06,0.571100929155204,0.25,0.05
0.64,0.06,0.571100929178235,0.25,0.05
0.66,0.06,0.571100929195271,0.25,0.05
0.68,0.06,0.571100929208238,0.25,0.05
0.7,0.06,0.571100929218341,0.25,0.05
0.72,0.06,0.571100929226366,0.25,0.05
0.74,0.06,0.571100929232845,0.25,0.05
0.76,0.06,0.571100929238149,0.25,0.05
0.78,0.06,0.571100929242544,0.25,0.05
0.8,0.06,0.571100929246223,0.25,0.05
0.82,0.06,0.571100929249331,0.25,0.05
0.84,0.06,0.571100929251978,0.25,0.05
0,0.08,0.0556017126026008,0.25,0.05
0.02,0.08,0.0556017126026008,0.25,0.05
0.04,0.08,0.0556017126026008,0.25,0.05
0.06,0.08,0.0556017126026008,0.25,0.05
0.08,0.08,0.0556017126026008,0.25,0.05
0.1,0.08,0.0556017126026008,0.25,0.05
0.12,0.08,0.0556017126026008,0.25,0.05
0.14,0.08,0.0556017126026008,0.25,0.05
0.16,0.08,0.0556017126026008,0.25,0.05
0.18,0.08,0.0556017126026008,0.25,0.05
0.2,0.08,0.0556017126026008,0.25,0.05
0.22,0.08,0.0556017126026008,0.25,0.05
0.24,0.08,0.0556017126026008,0.25,0.05
0.26,0.08,0.0556017126026008,0.25,0.05
0.28,0.08,0.0556017126026008,0.25,0.05
0.3,0.08,0.0556017126026008,0.25,0.05
0.32,0.08,0.0556017126026008,0.25,0.05
0.34,0.08,0.0556017126026008,0.25,0.05
0.36,0.08,0.0556017126026008,0.25,0.05
0.38,0.08,0.0556017126026008,0.25,0.05
0.4,0.08,0.0556017126026008,0.25,0.05
0.42,0.08,0.0556017126026008,0.25,0.05
0.44,0.08,0.0556017126026008,0.25,0.05
0.46,0.08,0.0556017126026008,0.25,0.05
0.48,0.08,0.0556017126026008,0.25,0.05
0.5,0.08,0.0556017126026008,0.25,0.05
0.52,0.08,0.0556017126026064,0.25,0.05
0.54,0.08,0.0556021324519122,0.25,0.05
0.56,0.08,0.512649213916841,0.25,0.05
0.58,0.08,0.519099939702905,0.25,0.05
0.6,0.08,0.520543665305616,0.25,0.05
0.62,0.08,0.52115846547667,0.25,0.05
0.64,0.08,0.521491686124104,0.25,0.05
0.66,0.08,0.521697360388725,0.25,0.05
0.68,0.08,0.521835149283628,0.25,0.05
