"Initial_Coral","Fishing_Pressure","Final_Coral","gamma"
0,0,0.0685383049825401,0.4
0.02,0,0.0685383049825401,0.4
0.04,0,0.0685383049825459,0.4
0.06,0,0.0685383049825459,0.4
0.08,0,0.0685383049825459,0.4
0.1,0,0.0685383049825459,0.4
0.12,0,0.0685383049825459,0.4
0.14,0,0.0685383049825459,0.4
0.16,0,0.0685383049825459,0.4
0.18,0,0.0685383049825459,0.4
0.2,0,0.0685383049825459,0.4
0.22,0,0.0685383049825459,0.4
0.24,0,0.0685383049825459,0.4
0.26,0,0.0685383049825459,0.4
0.28,0,0.0685383049825459,0.4
0.3,0,0.0685383049825459,0.4
0.32,0,0.0685383049825459,0.4
0.34,0,0.690214789548924,0.4
0.36,0,0.690214789548924,0.4
0.38,0,0.690214789548924,0.4
0.4,0,0.690214789548924,0.4
0.42,0,0.690214789548924,0.4
0.44,0,0.690214789548924,0.4
0.46,0,0.690214789548924,0.4
0.48,0,0.690214789548924,0.4
0.5,0,0.690214789548924,0.4
0.52,0,0.690214789548924,0.4
0.54,0,0.690214789548924,0.4
0.56,0,0.690214789548924,0.4
0.58,0,0.690214789548924,0.4
0.6,0,0.690214789548924,0.4
0.62,0,0.690214789548924,0.4
0.64,0,0.690214789548924,0.4
0.66,0,0.690214789548924,0.4
0.68,0,0.690214789548924,0.4
0.7,0,0.690214789548924,0.4
0.72,0,0.690214789548924,0.4
0.74,0,0.690214789548924,0.4
0.76,0,0.690214789548924,0.4
0.78,0,0.69021478954893,0.4
0.8,0,0.69021478954893,0.4
0.82,0,0.69021478954893,0.4
0.84,0,0.69021478954893,0.4
0,0.02,0.0651536260065325,0.4
0.02,0.02,0.0651536260065381,0.4
0.04,0.02,0.0651536260065381,0.4
0.06,0.02,0.0651536260065381,0.4
0.08,0.02,0.0651536260065381,0.4
0.1,0.02,0.0651536260065381,0.4
0.12,0.02,0.0651536260065381,0.4
0.14,0.02,0.0651536260065381,0.4
0.16,0.02,0.0651536260065381,0.4
0.18,0.02,0.0651536260065381,0.4
0.2,0.02,0.0651536260065381,0.4
0.22,0.02,0.0651536260065381,0.4
0.24,0.02,0.0651536260065381,0.4
0.26,0.02,0.0651536260065381,0.4
0.28,0.02,0.0651536260065381,0.4
0.3,0.02,0.0651536260065381,0.4
0.32,0.02,0.0651536260065381,0.4
0.34,0.02,0.0651536260065381,0.4
0.36,0.02,0.687866902089767,0.4
0.38,0.02,0.687866902089767,0.4
0.4,0.02,0.687866902089767,0.4
0.42,0.02,0.687866902089767,0.4
0.44,0.02,0.687866902089767,0.4
0.46,0.02,0.687866902089767,0.4
0.48,0.02,0.687866902089767,0.4
0.5,0.02,0.687866902089767,0.4
0.52,0.02,0.687866902089767,0.4
0.54,0.02,0.687866902089767,0.4
0.56,0.02,0.687866902089767,0.4
0.58,0.02,0.687866902089767,0.4
0.6,0.02,0.687866902089767,0.4
0.62,0.02,0.687866902089767,0.4
0.64,0.02,0.687866902089767,0.4
0.66,0.02,0.687866902089767,0.4
0.68,0.02,0.687866902089767,0.4
0.7,0.02,0.687866902089767,0.4
0.72,0.02,0.687866902089767,0.4
0.74,0.02,0.687866902089767,0.4
0.76,0.02,0.687866902089767,0.4
0.78,0.02,0.687866902089773,0.4
0.8,0.02,0.687866902089773,0.4
0.82,0.02,0.687866902089773,0.4
0.84,0.02,0.687866902089773,0.4
0,0.04,0.0620139515382973,0.4
0.02,0.04,0.0620139515383012,0.4
0.04,0.04,0.0620139515383012,0.4
0.06,0.04,0.0620139515383012,0.4
0.08,0.04,0.0620139515383012,0.4
0.1,0.04,0.0620139515383013,0.4
0.12,0.04,0.0620139515383012,0.4
0.14,0.04,0.0620139515383012,0.4
0.16,0.04,0.0620139515383012,0.4
0.18,0.04,0.0620139515383012,0.4
0.2,0.04,0.0620139515383012,0.4
0.22,0.04,0.0620139515383012,0.4
0.24,0.04,0.0620139515383012,0.4
0.26,0.04,0.0620139515383012,0.4
0.28,0.04,0.0620139515383012,0.4
0.3,0.04,0.0620139515383012,0.4
0.32,0.04,0.0620139515383012,0.4
0.34,0.04,0.0620139515383012,0.4
0.36,0.04,0.0620139515383012,0.4
0.38,0.04,0.685210678878536,0.4
0.4,0.04,0.685210678878536,0.4
0.42,0.04,0.685210678878536,0.4
0.44,0.04,0.685210678878536,0.4
0.46,0.04,0.685210678878536,0.4
0.48,0.04,0.685210678878536,0.4
0.5,0.04,0.685210678878536,0.4
0.52,0.04,0.685210678878536,0.4
0.54,0.04,0.685210678878536,0.4
0.56,0.04,0.685210678878536,0.4
0.58,0.04,0.685210678878536,0.4
0.6,0.04,0.685210678878536,0.4
0.62,0.04,0.685210678878536,0.4
0.64,0.04,0.685210678878536,0.4
0.66,0.04,0.685210678878536,0.4
0.68,0.04,0.685210678878536,0.4
0.7,0.04,0.685210678878536,0.4
0.72,0.04,0.685210678878536,0.4
0.74,0.04,0.685210678878536,0.4
0.76,0.04,0.685210678878536,0.4
0.78,0.04,0.685210678878542,0.4
0.8,0.04,0.685210678878542,0.4
0.82,0.04,0.685210678878542,0.4
0.84,0.04,0.685210678878542,0.4
0,0.06,0.0590857825963045,0.4
0.02,0.06,0.0590857825963082,0.4
0.04,0.06,0.0590857825963082,0.4
0.06,0.06,0.0590857825963082,0.4
0.08,0.06,0.0590857825963082,0.4
0.1,0.06,0.0590857825963082,0.4
0.12,0.06,0.0590857825963082,0.4
0.14,0.06,0.0590857825963082,0.4
0.16,0.06,0.0590857825963082,0.4
0.18,0.06,0.0590857825963082,0.4
0.2,0.06,0.0590857825963082,0.4
0.22,0.06,0.0590857825963082,0.4
0.24,0.06,0.0590857825963082,0.4
0.26,0.06,0.0590857825963082,0.4
0.28,0.06,0.0590857825963082,0.4
0.3,0.06,0.0590857825963082,0.4
0.32,0.06,0.0590857825963082,0.4
0.34,0.06,0.0590857825963082,0.4
0.36,0.06,0.0590857825963082,0.4
0.38,0.06,0.0590857825963082,0.4
0.4,0.06,0.682173887676088,0.4
0.42,0.06,0.682173887676088,0.4
0.44,0.06,0.682173887676088,0.4
0.46,0.06,0.682173887676088,0.4
0.48,0.06,0.682173887676088,0.4
0.5,0.06,0.682173887676088,0.4
0.52,0.06,0.682173887676088,0.4
0.54,0.06,0.682173887676088,0.4
0.56,0.06,0.682173887676088,0.4
0.58,0.06,0.682173887676088,0.4
0.6,0.06,0.682173887676088,0.4
0.62,0.06,0.682173887676088,0.4
0.64,0.06,0.682173887676088,0.4
0.66,0.06,0.682173887676088,0.4
0.68,0.06,0.682173887676088,0.4
0.7,0.06,0.682173887676088,0.4
0.72,0.06,0.682173887676088,0.4
0.74,0.06,0.682173887676088,0.4
0.76,0.06,0.682173887676095,0.4
0.78,0.06,0.682173887676095,0.4
0.8,0.06,0.682173887676095,0.4
0.82,0.06,0.682173887676095,0.4
0.84,0.06,0.682173887676095,0.4
0,0.08,0.0563423129298492,0.4
0.02,0.08,0.0563423129298527,0.4
0.04,0.08,0.0563423129298527,0.4
0.06,0.08,0.0563423129298527,0.4
0.08,0.08,0.0563423129298527,0.4
0.1,0.08,0.0563423129298527,0.4
0.12,0.08,0.0563423129298527,0.4
0.14,0.08,0.0563423129298527,0.4
0.16,0.08,0.0563423129298527,0.4
0.18,0.08,0.0563423129298527,0.4
0.2,0.08,0.0563423129298527,0.4
0.22,0.08,0.0563423129298527,0.4
0.24,0.08,0.0563423129298527,0.4
0.26,0.08,0.0563423129298527,0.4
0.28,0.08,0.0563423129298527,0.4
0.3,0.08,0.0563423129298527,0.4
0.32,0.08,0.0563423129298527,0.4
0.34,0.08,0.0563423129298527,0.4
0.36,0.08,0.0563423129298527,0.4
0.38,0.08,0.0563423129298527,0.4
0.4,0.08,0.0563423129298527,0.4
0.42,0.08,0.678656406320768,0.4
0.44,0.08,0.678656406320768,0.4
0.46,0.08,0.678656406320768,0.4
0.48,0.08,0.678656406320768,0.4
0.5,0.08,0.678656406320768,0.4
0.52,0.08,0.678656406320768,0.4
0.54,0.08,0.678656406320768,0.4
0.56,0.08,0.678656406320768,0.4
0.58,0.08,0.678656406320768,0.4
0.6,0.08,0.678656406320768,0.4
0.62,0.08,0.678656406320768,0.4
0.64,0.08,0.678656406320768,0.4
0.66,0.08,0.678656406320768,0.4
0.68,0.08,0.678656406320768,0.4
0.7,0.08,0.678656406320768,0.4
0.72,0.08,0.678656406320768,0.4
0.74,0.08,0.678656406320768,0.4
0.76,0.08,0.678656406320776,0.4
0.78,0.08,0.678656406320776,0.4
0.8,0.08,0.678656406320776,0.4
0.82,0.08,0.678656406320776,0.4
0.84,0.08,0.678656406320776,0.4
0,0.1,0.0537617177898996,0.4
0.02,0.1,0.0537617177899029,0.4
0.04,0.1,0.0537617177899029,0.4
0.06,0.1,0.0537617177899029,0.4
0.08,0.1,0.0537617177899029,0.4
0.1,0.1,0.0537617177899029,0.4
0.12,0.1,0.0537617177899029,0.4
0.14,0.1,0.0537617177899029,0.4
0.16,0.1,0.0537617177899029,0.4
0.18,0.1,0.0537617177899029,0.4
0.2,0.1,0.0537617177899029,0.4
0.22,0.1,0.0537617177899029,0.4
0.24,0.1,0.0537617177899029,0.4
0.26,0.1,0.0537617177899029,0.4
0.28,0.1,0.0537617177899029,0.4
0.3,0.1,0.0537617177899029,0.4
0.32,0.1,0.0537617177899029,0.4
0.34,0.1,0.0537617177899029,0.4
0.36,0.1,0.0537617177899029,0.4
0.38,0.1,0.0537617177899029,0.4
0.4,0.1,0.0537617177899029,0.4
0.42,0.1,0.0537617177899029,0.4
0.44,0.1,0.674513303773825,0.4
0.46,0.1,0.674513303773825,0.4
0.48,0.1,0.674513303773825,0.4
0.5,0.1,0.674513303773825,0.4
0.52,0.1,0.674513303773825,0.4
0.54,0.1,0.674513303773825,0.4
0.56,0.1,0.674513303773825,0.4
0.58,0.1,0.674513303773825,0.4
0.6,0.1,0.674513303773825,0.4
0.62,0.1,0.674513303773825,0.4
0.64,0.1,0.674513303773825,0.4
0.66,0.1,0.674513303773825,0.4
