Initial_Coral,Fishing_Pressure,Final_Coral
0,0,0.07570868055231396
0.01,0,0.075708680552321
0.02,0,0.075708680552321
0.03,0,0.075708680552321
0.04,0,0.075708680552321
0.05,0,0.075708680552321
0.06,0,0.075708680552321
0.07,0,0.075708680552321
0.08,0,0.075708680552321
0.09,0,0.075708680552321
0.1,0,0.075708680552321
0.11,0,0.07570868055232109
0.12,0,0.075708680552321
0.13,0,0.075708680552321
0.14,0,0.075708680552321
0.15,0,0.075708680552321
0.16,0,0.075708680552321
0.17,0,0.075708680552321
0.18,0,0.075708680552321
0.19,0,0.075708680552321
0.2,0,0.075708680552321
0.21,0,0.075708680552321
0.22,0,0.075708680552321
0.23,0,0.075708680552321
0.24,0,0.07570868055232234
0.25,0,0.7095739852668088
0.26,0,0.7095739852668088
0.27,0,0.7095739852668088
0.28,0,0.7095739852668088
0.29,0,0.7095739852668088
0.3,0,0.7095739852668088
0.31,0,0.7095739852668088
0.32,0,0.7095739852668088
0.33,0,0.7095739852668088
0.34,0,0.7095739852668088
0.35000000000000003,0,0.7095739852668088
0.36,0,0.7095739852668088
0.37,0,0.7095739852668088
0.38,0,0.7095739852668088
0.39,0,0.7095739852668088
0.4,0,0.7095739852668088
0.41000000000000003,0,0.7095739852668088
0.42,0,0.7095739852668088
0.43,0,0.7095739852668088
0.44,0,0.7095739852668088
0.45,0,0.7095739852668088
0.46,0,0.7095739852668088
0.47000000000000003,0,0.7095739852668088
0.48,0,0.7095739852668088
0.49,0,0.7095739852668088
0.5,0,0.7095739852668088
0.51,0,0.7095739852668088
0.52,0,0.7095739852668088
0.53,0,0.7095739852668088
0.54,0,0.7095739852668088
0.55,0,0.7095739852668088
0.56,0,0.7095739852668088
0.5700000000000001,0,0.7095739852668088
0.58,0,0.7095739852668088
0.59,0,0.7095739852668088
0.6,0,0.7095739852668088
0.61,0,0.7095739852668088
0.62,0,0.7095739852668088
0.63,0,0.7095739852668088
0.64,0,0.7095739852668088
0.65,0,0.7095739852668088
0.66,0,0.7095739852668088
0.67,0,0.7095739852668088
0.68,0,0.7095739852668088
0.6900000000000001,0,0.7095739852668088
0.7000000000000001,0,0.7095739852668088
0.71,0,0.7095739852668088
0.72,0,0.7095739852668088
0.73,0,0.7095739852668088
0.74,0,0.7095739852668088
0.75,0,0.7095739852668088
0.76,0,0.7095739852668088
0.77,0,0.7095739852668088
0.78,0,0.7095739852668088
0.79,0,0.7095739852668088
0.8,0,0.7095739852668088
0.81,0,0.7095739852668088
0.8200000000000001,0,0.7095739852668134
0.8300000000000001,0,0.7095739852668134
0.84,0,0.7095739852668134
0.85,0,0.7095739852668134
0,0.01,0.0735987015211842
0.01,0.01,0.07359870152119098
0.02,0.01,0.07359870152119098
0.03,0.01,0.07359870152119098
0.04,0.01,0.07359870152119098
0.05,0.01,0.07359870152119098
0.06,0.01,0.07359870152119098
0.07,0.01,0.07359870152119098
0.08,0.01,0.07359870152119098
0.09,0.01,0.07359870152119098
0.1,0.01,0.07359870152119098
0.11,0.01,0.07359870152119098
0.12,0.01,0.07359870152119098
0.13,0.01,0.07359870152119098
0.14,0.01,0.07359870152119098
0.15,0.01,0.07359870152119098
0.16,0.01,0.07359870152119098
0.17,0.01,0.07359870152119098
0.18,0.01,0.07359870152119098
0.19,0.01,0.07359870152119098
0.2,0.01,0.07359870152119098
0.21,0.01,0.07359870152119098
0.22,0.01,0.07359870152119098
0.23,0.01,0.07359870152119098
0.24,0.01,0.07359870152119098
0.25,0.01,0.07359870152119098
0.26,0.01,0.7091726636195594
0.27,0.01,0.7091726636195594
0.28,0.01,0.7091726636195594
0.29,0.01,0.7091726636195594
0.3,0.01,0.7091726636195594
0.31,0.01,0.7091726636195594
0.32,0.01,0.7091726636195594
0.33,0.01,0.7091726636195594
0.34,0.01,0.7091726636195594
0.35000000000000003,0.01,0.7091726636195594
0.36,0.01,0.7091726636195594
0.37,0.01,0.7091726636195594
0.38,0.01,0.7091726636195594
0.39,0.01,0.7091726636195594
0.4,0.01,0.7091726636195594
0.41000000000000003,0.01,0.7091726636195594
0.42,0.01,0.7091726636195594
0.43,0.01,0.7091726636195594
0.44,0.01,0.7091726636195594
0.45,0.01,0.7091726636195594
0.46,0.01,0.7091726636195594
0.47000000000000003,0.01,0.7091726636195594
0.48,0.01,0.7091726636195594
0.49,0.01,0.7091726636195594
0.5,0.01,0.7091726636195594
0.51,0.01,0.7091726636195594
0.52,0.01,0.7091726636195594
0.53,0.01,0.7091726636195594
0.54,0.01,0.7091726636195594
0.55,0.01,0.7091726636195594
0.56,0.01,0.7091726636195594
0.5700000000000001,0.01,0.7091726636195594
0.58,0.01,0.7091726636195594
0.59,0.01,0.7091726636195594
0.6,0.01,0.7091726636195594
0.61,0.01,0.7091726636195594
0.62,0.01,0.7091726636195594
0.63,0.01,0.7091726636195594
0.64,0.01,0.7091726636195594
0.65,0.01,0.7091726636195594
0.66,0.01,0.7091726636195594
0.67,0.01,0.7091726636195594
0.68,0.01,0.7091726636195594
0.6900000000000001,0.01,0.7091726636195594
0.7000000000000001,0.01,0.7091726636195594
0.71,0.01,0.7091726636195594
0.72,0.01,0.7091726636195594
0.73,0.01,0.7091726636195594
0.74,0.01,0.7091726636195594
0.75,0.01,0.7091726636195594
0.76,0.01,0.7091726636195594
0.77,0.01,0.7091726636195594
0.78,0.01,0.7091726636195594
0.79,0.01,0.7091726636195594
0.8,0.01,0.7091726636195594
0.81,0.01,0.7091726636195594
0.8200000000000001,0.01,0.709172663619564
0.8300000000000001,0.01,0.709172663619564
