Initial_Coral,Fishing_Pressure,Final_Coral
0,0,0.6905455501592529
0.01,0,0.6905455501592529
0.02,0,0.6905455501592529
0.03,0,0.6905455501592529
0.04,0,0.6905455501592529
0.05,0,0.6905455501592529
0.06,0,0.6905455501592529
0.07,0,0.6905455501592529
0.08,0,0.6905455501592529
0.09,0,0.6905455501592529
0.1,0,0.6905455501592529
0.11,0,0.6905455501592529
0.12,0,0.6905455501592529
0.13,0,0.6905455501592529
0.14,0,0.6905455501592529
0.15,0,0.6905455501592529
0.16,0,0.6905455501592529
0.17,0,0.6905455501592529
0.18,0,0.6905455501592529
0.19,0,0.6905455501592529
0.2,0,0.6905455501592529
0.21,0,0.6905455501592529
0.22,0,0.6905455501592529
0.23,0,0.6905455501592529
0.24,0,0.6905455501592529
0.25,0,0.6905455501592529
0.26,0,0.6905455501592529
0.27,0,0.6905455501592529
0.28,0,0.6905455501592529
0.29,0,0.6905455501592529
0.3,0,0.6905455501592529
0.31,0,0.6905455501592529
0.32,0,0.6905455501592529
0.33,0,0.6905455501592529
0.34,0,0.6905455501592529
0.35000000000000003,0,0.6905455501592529
0.36,0,0.6905455501592529
0.37,0,0.6905455501592529
0.38,0,0.6905455501592529
0.39,0,0.6905455501592529
0.4,0,0.6905455501592529
0.41000000000000003,0,0.6905455501592529
0.42,0,0.6905455501592529
0.43,0,0.6905455501592529
0.44,0,0.6905455501592529
0.45,0,0.6905455501592529
0.46,0,0.6905455501592529
0.47000000000000003,0,0.6905455501592529
0.48,0,0.6905455501592529
0.49,0,0.6905455501592529
0.5,0,0.6905455501592529
0.51,0,0.6905455501592529
0.52,0,0.6905455501592529
0.53,0,0.6905455501592529
0.54,0,0.6905455501592529
0.55,0,0.6905455501592529
0.56,0,0.6905455501592529
0.5700000000000001,0,0.6905455501592529
0.58,0,0.6905455501592529
0.59,0,0.6905455501592529
0.6,0,0.6905455501592529
0.61,0,0.6905455501592529
0.62,0,0.6905455501592529
0.63,0,0.6905455501592529
0.64,0,0.6905455501592529
0.65,0,0.6905455501592529
0.66,0,0.6905455501592529
0.67,0,0.6905455501592529
0.68,0,0.6905455501592529
0.6900000000000001,0,0.6905455501592529
0.7000000000000001,0,0.6905455501592529
0.71,0,0.6905455501592529
0.72,0,0.6905455501592529
0.73,0,0.6905455501592529
0.74,0,0.6905455501592581
0.75,0,0.6905455501592581
0.76,0,0.6905455501592581
0.77,0,0.6905455501592581
0.78,0,0.6905455501592581
0.79,0,0.6905455501592581
0.8,0,0.6905455501592581
0.81,0,0.6905455501592581
0.8200000000000001,0,0.6905455501592581
0.8300000000000001,0,0.6905455501592581
0.84,0,0.6905455501592581
0.85,0,0.6905455501592581
0,0.01,0.6899407299643011
0.01,0.01,0.6899407299643011
0.02,0.01,0.6899407299643011
0.03,0.01,0.6899407299643011
0.04,0.01,0.6899407299643011
0.05,0.01,0.6899407299643011
0.06,0.01,0.6899407299643011
0.07,0.01,0.6899407299643011
0.08,0.01,0.6899407299643011
0.09,0.01,0.6899407299643011
0.1,0.01,0.6899407299643011
0.11,0.01,0.6899407299643011
0.12,0.01,0.6899407299643011
0.13,0.01,0.6899407299643011
0.14,0.01,0.6899407299643011
0.15,0.01,0.6899407299643011
0.16,0.01,0.6899407299643011
0.17,0.01,0.6899407299643011
0.18,0.01,0.6899407299643011
0.19,0.01,0.6899407299643011
0.2,0.01,0.6899407299643011
0.21,0.01,0.6899407299643011
0.22,0.01,0.6899407299643011
0.23,0.01,0.6899407299643011
0.24,0.01,0.6899407299643011
